Dataset,Method,Contamination,Metric,Value
Circles,KMeansIsolationForest,0.15,Accuracy,0.892
Circles,KMeansIsolationForest,0.15,Precision,0.47333333333333333
Circles,KMeansIsolationForest,0.15,Recall,0.71
Circles,KMeansIsolationForest,0.15,F1-Score,0.568
Circles,KMeansIsolationForest,0.15,ROC-AUC,0.8702777777777778
Circles,IsolationForest,0.2,Accuracy,0.838
Circles,IsolationForest,0.2,Precision,0.345
Circles,IsolationForest,0.2,Recall,0.69
Circles,IsolationForest,0.2,F1-Score,0.46
Circles,IsolationForest,0.2,ROC-AUC,0.8485777777777778
Circles,KMeansIsolationForest,0.2,Accuracy,0.85
Circles,KMeansIsolationForest,0.2,Precision,0.375
Circles,KMeansIsolationForest,0.2,Recall,0.75
Circles,KMeansIsolationForest,0.2,F1-Score,0.5
Circles,KMeansIsolationForest,0.2,ROC-AUC,0.8702777777777778
Circles,IsolationForest,0.25,Accuracy,0.792
Circles,IsolationForest,0.25,Precision,0.284
Circles,IsolationForest,0.25,Recall,0.71
Circles,IsolationForest,0.25,F1-Score,0.4057142857142857
Circles,IsolationForest,0.25,ROC-AUC,0.8485777777777778
Circles,KMeansIsolationForest,0.25,Accuracy,0.812
Circles,KMeansIsolationForest,0.25,Precision,0.324
Circles,KMeansIsolationForest,0.25,Recall,0.81
Circles,KMeansIsolationForest,0.25,F1-Score,0.46285714285714286
Circles,KMeansIsolationForest,0.25,ROC-AUC,0.8702777777777778
Circles,IsolationForest,0.3,Accuracy,0.75
Circles,IsolationForest,0.3,Precision,0.25
Circles,IsolationForest,0.3,Recall,0.75
Circles,IsolationForest,0.3,F1-Score,0.375
Circles,IsolationForest,0.3,ROC-AUC,0.8485777777777778
Circles,KMeansIsolationForest,0.3,Accuracy,0.766
Circles,KMeansIsolationForest,0.3,Precision,0.27666666666666667
Circles,KMeansIsolationForest,0.3,Recall,0.83
Circles,KMeansIsolationForest,0.3,F1-Score,0.415
Circles,KMeansIsolationForest,0.3,ROC-AUC,0.8702777777777778
S-Curve,IsolationForest,0.05,Accuracy,0.948
S-Curve,IsolationForest,0.05,Precision,0.98
S-Curve,IsolationForest,0.05,Recall,0.49
S-Curve,IsolationForest,0.05,F1-Score,0.6533333333333333
S-Curve,IsolationForest,0.05,ROC-AUC,0.8539888888888889
S-Curve,KMeansIsolationForest,0.05,Accuracy,0.94
S-Curve,KMeansIsolationForest,0.05,Precision,0.9
S-Curve,KMeansIsolationForest,0.05,Recall,0.45
S-Curve,KMeansIsolationForest,0.05,F1-Score,0.6
S-Curve,KMeansIsolationForest,0.05,ROC-AUC,0.8993666666666668
S-Curve,IsolationForest,0.1,Accuracy,0.922
S-Curve,IsolationForest,0.1,Precision,0.61
S-Curve,IsolationForest,0.1,Recall,0.61
S-Curve,IsolationForest,0.1,F1-Score,0.61
S-Curve,IsolationForest,0.1,ROC-AUC,0.8539888888888889
S-Curve,KMeansIsolationForest,0.1,Accuracy,0.926
S-Curve,KMeansIsolationForest,0.1,Precision,0.63
S-Curve,KMeansIsolationForest,0.1,Recall,0.63
S-Curve,KMeansIsolationForest,0.1,F1-Score,0.63
S-Curve,KMeansIsolationForest,0.1,ROC-AUC,0.8993666666666668
S-Curve,IsolationForest,0.15,Accuracy,0.872
S-Curve,IsolationForest,0.15,Precision,0.4066666666666667
S-Curve,IsolationForest,0.15,Recall,0.61
S-Curve,IsolationForest,0.15,F1-Score,0.488
S-Curve,IsolationForest,0.15,ROC-AUC,0.8539888888888889
S-Curve,KMeansIsolationForest,0.15,Accuracy,0.898
S-Curve,KMeansIsolationForest,0.15,Precision,0.49333333333333335
S-Curve,KMeansIsolationForest,0.15,Recall,0.74
S-Curve,KMeansIsolationForest,0.15,F1-Score,0.592
S-Curve,KMeansIsolationForest,0.15,ROC-AUC,0.8993666666666668
S-Curve,IsolationForest,0.2,Accuracy,0.834
S-Curve,IsolationForest,0.2,Precision,0.335
S-Curve,IsolationForest,0.2,Recall,0.67
S-Curve,IsolationForest,0.2,F1-Score,0.44666666666666666
S-Curve,IsolationForest,0.2,ROC-AUC,0.8539888888888889
S-Curve,KMeansIsolationForest,0.2,Accuracy,0.856
S-Curve,KMeansIsolationForest,0.2,Precision,0.39
S-Curve,KMeansIsolationForest,0.2,Recall,0.78
S-Curve,KMeansIsolationForest,0.2,F1-Score,0.52
S-Curve,KMeansIsolationForest,0.2,ROC-AUC,0.8993666666666668
S-Curve,IsolationForest,0.25,Accuracy,0.798
S-Curve,IsolationForest,0.25,Precision,0.296
S-Curve,IsolationForest,0.25,Recall,0.74
S-Curve,IsolationForest,0.25,F1-Score,0.4228571428571429
S-Curve,IsolationForest,0.25,ROC-AUC,0.8539888888888889
S-Curve,KMeansIsolationForest,0.25,Accuracy,0.814
S-Curve,KMeansIsolationForest,0.25,Precision,0.328
S-Curve,KMeansIsolationForest,0.25,Recall,0.82
S-Curve,KMeansIsolationForest,0.25,F1-Score,0.4685714285714286
S-Curve,KMeansIsolationForest,0.25,ROC-AUC,0.8993666666666668
S-Curve,IsolationForest,0.3,Accuracy,0.758
S-Curve,IsolationForest,0.3,Precision,0.2633333333333333
S-Curve,IsolationForest,0.3,Recall,0.79
S-Curve,IsolationForest,0.3,F1-Score,0.395
S-Curve,IsolationForest,0.3,ROC-AUC,0.8539888888888889
S-Curve,KMeansIsolationForest,0.3,Accuracy,0.77
S-Curve,KMeansIsolationForest,0.3,Precision,0.2833333333333333
S-Curve,KMeansIsolationForest,0.3,Recall,0.85
S-Curve,KMeansIsolationForest,0.3,F1-Score,0.425
S-Curve,KMeansIsolationForest,0.3,ROC-AUC,0.8993666666666668
